Event Title,Event Type,Event Description,Start Date,Start Time,End Date,End Time,Calendar Name,Created At
PTA Council,District Event,9:15 AM,4/9/2015,,12/15/2014,,School Calendar,Mamaroneck Union Free School District
MHS Junior Prom,Meeting,,4/10/2015,,,,School Calendar,Mamaroneck Union Free School District
Building Bridges Evening Speaker/HOM Aud,District Event,7:00 PM,4/13/2015,,,,School Calendar,Mamaroneck Union Free School District
PACE 3 Presents 6 & 7 pm,District Event,<br>,4/15/2015,,,,School Calendar,Mamaroneck Union Free School District
SEPTA Diner Networking/Nautilus Diner,District Event,9:15 AM,4/15/2015,,12/10/2014,,School Calendar,Mamaroneck Union Free School District
MHS Third Quarter ends,Meeting,,4/17/2015,,,,School Calendar,Mamaroneck Union Free School District
ACT Test/MHS,Meeting,,4/19/2015,,,,School Calendar,Mamaroneck Union Free School District
Schl Bd Study Session/MHS Lib Clsm,District Event,7:30 PM,4/21/2015,,12/16/2014,,School Calendar,Mamaroneck Union Free School District
"10th gr. parents ""Rising Junior Meeting"" 7 p.m.",Meeting,,4/22/2015,,,,School Calendar,Mamaroneck Union Free School District
PACE Musical Revue 7:30 pm,District Event,<br>,4/23/2015,,4/23/2015,,School Calendar,Mamaroneck Union Free School District
PACE Musical Revue 7:30 pm,District Event,<br>,4/24/2015,,4/24/2015,,School Calendar,Mamaroneck Union Free School District
PACE Musical Revue 7:30 pm,District Event,<br>,4/25/2015,,4/25/2015,,School Calendar,Mamaroneck Union Free School District
"MHS/SEPTA Elections, District Budget Disc & Vote/MHS Lib",District Event,7:30 PM,4/27/2015,,,,School Calendar,Mamaroneck Union Free School District
"HOM Gr 6, 7, 8 Band Concert/Aud",District Event,6:30 pm &amp; 7:30 pm,4/28/2015,,,,School Calendar,Mamaroneck Union Free School District
PACE Senior Dance Night 7:30 pm,District Event,,4/28/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS Vocal/Band Ensemble Concert,District Event,7:30 PM,4/29/2015,,,,School Calendar,Mamaroneck Union Free School District
Mamaroneck Schls Foundation Spring Benefit,District Event,6:30 PM,5/2/2015,,,,School Calendar,Mamaroneck Union Free School District
SAT Test/MHS,Meeting,,5/2/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP Chemistry in am,Meeting,,5/4/2015,,,,School Calendar,Mamaroneck Union Free School District
PTA Council,District Event,9:15 AM,5/4/2015,,12/15/2014,,School Calendar,Mamaroneck Union Free School District
"HOM Orch Concert Gr 6, 7 & 8/Aud",District Event,7:00 PM,5/5/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP Calculus AB & BC in am,Meeting,,5/5/2015,,,,School Calendar,Mamaroneck Union Free School District
Schl Bd Study Session/MHS Lib Clsm,District Event,7:30 PM,5/5/2015,,12/16/2014,,School Calendar,Mamaroneck Union Free School District
8 a.m - 3 p.m./MHS Mother's Day Sale/Concourse,PTA Meeting,,5/6/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP English Literature in am,Meeting,,5/6/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP Physics 1 in pm,Meeting,,5/6/2015,,,,School Calendar,Mamaroneck Union Free School District
8 a.m - 3 p.m./MHS Mother's Day Sale/Concourse,PTA Meeting,,5/7/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP Art History in pm,Meeting,,5/7/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP Computer Science in am,Meeting,,5/7/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP Physics 2 in pm,Meeting,,5/7/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP Spanish in am,Meeting,,5/7/2015,,,,School Calendar,Mamaroneck Union Free School District
PACE 2 Show 7:30 pm,District Event,<br>,5/7/2015,,,,School Calendar,Mamaroneck Union Free School District
8 a.m - 3 p.m./MHS Mother's Day Sale/Concourse,PTA Meeting,,5/8/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP European History in pm,Meeting,,5/8/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP U.S. History in am,Meeting,,5/8/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP Biology in am,Meeting,,5/11/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP Physics C in pm,Meeting,,5/11/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP French in pm,Meeting,,5/12/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP U.S. Government in am,Meeting,,5/12/2015,,,,School Calendar,Mamaroneck Union Free School District
Schl Bd Study Session/MHS Lib Clsm,District Event,7:30 PM,5/12/2015,,12/2/2014,,School Calendar,Mamaroneck Union Free School District
MHS AP English Language and Culture in am,Meeting,,5/13/2015,,,,School Calendar,Mamaroneck Union Free School District
SEPTA Diner Networking/Nautilus Diner,District Event,9:15 AM,5/13/2015,,12/10/2014,,School Calendar,Mamaroneck Union Free School District
7:30 p.m. - MHS Awards Assembly/McLain Aud,Meeting,,5/14/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP Macroeconomics in pm,Meeting,,5/14/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS AP Microeconomics in am,Meeting,,5/15/2015,,,,School Calendar,Mamaroneck Union Free School District
PTA Council,District Event,9:15 AM,5/15/2015,,12/15/2014,,School Calendar,Mamaroneck Union Free School District
STEM-tastic Saturday/HOM,District Event,,5/16/2015,,,,School Calendar,Mamaroneck Union Free School District
7 p.m. - MHS Original Science Research Symposium/Lib,Meeting,,5/18/2015,,,,School Calendar,Mamaroneck Union Free School District
All Elem Screen Free Wk,District Event,,5/18/2015,,5/22/2015,,School Calendar,Mamaroneck Union Free School District
Science Book Fair Sponsored by SEPTA/MUR,District Event,2:45 pm - 5:00 pm&nbsp;,5/18/2015,,,,School Calendar,Mamaroneck Union Free School District
All Elem Screen Free Wk,District Event,,5/19/2015,,5/22/2015,,School Calendar,Mamaroneck Union Free School District
MHS Spring Art Show Opening/Palmer Gallery,District Event,6-8 pm (Open schl hours through 5/30),5/19/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS Video Show/PACE Theatre,District Event,7:00 PM,5/19/2015,,,,School Calendar,Mamaroneck Union Free School District
Schl Bd Study Session/MHS Lib Clsm,District Event,7:30 PM,5/19/2015,,12/16/2014,,School Calendar,Mamaroneck Union Free School District
SCHOOL BUDGET VOTE,None,(at your elementary school)<BR>,,,,,,
7 am-9pm,5/19/2015,,,,School Calendar,Mamaroneck Union Free School District,,
All Elem Screen Free Wk,District Event,,5/20/2015,,5/22/2015,,School Calendar,Mamaroneck Union Free School District
MHS Spring Concert/McLain Aud,District Event,7:30 PM,5/20/2015,,,,School Calendar,Mamaroneck Union Free School District
All Elem Screen Free Wk,District Event,,5/21/2015,,5/22/2015,,School Calendar,Mamaroneck Union Free School District
All Elem Screen Free Wk,District Event,,5/22/2015,,5/22/2015,,School Calendar,Mamaroneck Union Free School District
Snow Make Up or School Holiday,District Event,"If there have been 4 school closings, then school is in session",5/22/2015,,,,School Calendar,Mamaroneck Union Free School District
Memorial Day -- Schools Closed,Holiday,,5/25/2015,,,,School Calendar,Mamaroneck Union Free School District
School Holiday -- Schools Closed,Holiday,,5/26/2015,,,,School Calendar,Mamaroneck Union Free School District
7:30 p.m. - MHS National Honor Society Induction/McLain Aud,Meeting,,5/27/2015,,,,School Calendar,Mamaroneck Union Free School District
7 p.m. - MHS Senior Honors Reception,Meeting,,5/28/2015,,,,School Calendar,Mamaroneck Union Free School District
PTA Council Calendar Mtg,District Event,9:15 AM,5/29/2015,,,,School Calendar,Mamaroneck Union Free School District
"HOM Gr 6, 7, 8 Chorus Concert/Aud",District Event,6:30 &amp; 7:30 pm,6/2/2015,,,,School Calendar,Mamaroneck Union Free School District
Schl Bd Study Session/MHS Lib Clsm,District Event,7:30 PM,6/2/2015,,12/2/2014,,School Calendar,Mamaroneck Union Free School District
PACE Performing Arts Festival 7:30 pm,District Event,<br>,6/3/2015,,6/3/2015,,School Calendar,Mamaroneck Union Free School District
PACE Performing Arts Festival 7:30 pm,District Event,<br>,6/4/2015,,6/4/2015,,School Calendar,Mamaroneck Union Free School District
PACE Performing Arts Festival 7:30 pm,District Event,<br>,6/5/2015,,6/5/2015,,School Calendar,Mamaroneck Union Free School District
PACE Performing Arts Festival 7:30 pm,District Event,<br>,6/6/2015,,6/6/2015,,School Calendar,Mamaroneck Union Free School District
SAT Test/MHS,Meeting,,6/6/2015,,,,School Calendar,Mamaroneck Union Free School District
Senior Athletic Dinner-MHS Cafe,Sports,6:00 PM,6/8/2015,,,,School Calendar,Mamaroneck Union Free School District
PACE Senior Recital 7:30 pm,District Event,<br>,6/9/2015,,,,School Calendar,Mamaroneck Union Free School District
PTA Council -- Annual Mtg & Lunch,District Event,Noon,6/10/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS Senior Seminar Day 8:30 a.m.,Meeting,,6/11/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS Senior Prom,Meeting,,6/12/2015,,,,School Calendar,Mamaroneck Union Free School District
ACT Test/MHS,Meeting,,6/13/2015,,,,School Calendar,Mamaroneck Union Free School District
Fall Sports Athletic Information Night-McLain Auditorium,Sports,6:00 PM,6/15/2015,,,,School Calendar,Mamaroneck Union Free School District
Mamk Student Aid Fund Annual Awards Ceremony,Meeting,7:30 PM,6/15/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS - Last day of classes,Meeting,,6/15/2015,,,,School Calendar,Mamaroneck Union Free School District
Regents Exams,Meeting,,6/16/2015,,6/23/2015,,School Calendar,Mamaroneck Union Free School District
Schl Bd Study Session/MHS Lib Clsm,District Event,7:30 PM,6/16/2015,,12/16/2014,,School Calendar,Mamaroneck Union Free School District
Regents Exams,Meeting,,6/17/2015,,6/23/2015,,School Calendar,Mamaroneck Union Free School District
Regents Exams,Meeting,,6/18/2015,,6/23/2015,,School Calendar,Mamaroneck Union Free School District
Regents Exams,Meeting,,6/19/2015,,6/23/2015,,School Calendar,Mamaroneck Union Free School District
7 p.m. - MHS Senior Student Dinner/Cafe,Meeting,,6/22/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS Physicals-MHS Nurses Office,Sports,1:00-3:00 pm,6/22/2015,,,,School Calendar,Mamaroneck Union Free School District
Regents Exams,Meeting,,6/22/2015,,6/23/2015,,School Calendar,Mamaroneck Union Free School District
Regents Exams,Meeting,,6/23/2015,,6/23/2015,,School Calendar,Mamaroneck Union Free School District
6 p.m. - MHS Graduation (rain date 6/25),Meeting,,6/24/2015,,,,School Calendar,Mamaroneck Union Free School District
Children's Corner and KEEPS last day of all programs,District Event,,6/25/2015,,,,School Calendar,Mamaroneck Union Free School District
Last Day of Classes,District Event,,6/25/2015,,,,School Calendar,Mamaroneck Union Free School District
MHS 4th Quarter Ends,Meeting,,6/25/2015,,,,School Calendar,Mamaroneck Union Free School District
Last Day of School -- 9:15 am All Elem Dismissal,District Event,,6/26/2015,,,,School Calendar,Mamaroneck Union Free School District
